Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Playboi Carti-TRIM,5,,31,,"3,780,257","11,039,464"
Lana Del Rey-Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix / Radio Edit,74,,123,,"227,693","11,037,459"
"Charli xcx-The girl, so confusing version with lorde",7,,47,,"2,314,489","11,036,482"
Kanye West-DO IT,4,,17,,"3,329,245","11,031,633"
PEDRO SAMPAIO-POCPOC,8,,81,,"1,705,936","11,028,289"
Christian Nodal-Dime Cómo Quieres,13,,120,,"1,004,554","11,027,241"
XXXTENTACION-I don’t let go,8,,14,,"2,617,820","11,020,903"
Beyoncé-MOOD 4 EVA,11,,46,,"1,513,805","11,012,020"
Kendrick Lamar-Auntie Diaries,6,,24,,"3,816,621","11,000,423"
Demi Lovato-Anyone,12,,65,,"1,332,519","10,999,294"
Selena Gomez-Sunset Blvd,8,,101,,"1,625,752","10,992,544"
Beyoncé-MY HOUSE,7,,65,,"2,042,636","10,978,414"
Post Malone-Wrapped Around Your Finger,8,,30,,"2,239,612","10,976,656"
Kanye West-New Again,6,,30,,"2,909,424","10,967,462"
Pop Smoke-Something Special,12,,53,,"1,633,149","10,958,084"
Rammstein-Deutschland,12,,62,,"1,455,000","10,949,528"
Playboi Carti-CRANK,5,,27,,"4,157,106","10,948,366"
Coleman Hell-2 Heads,51,,121,,"279,213","10,932,151"
"Tyler, The Creator-IGOR'S THEME",8,,11,,"2,941,072","10,926,306"
Juice WRLD-Lace It,8,,95,,"1,819,672","10,922,746"
Roddy Ricch-Start Wit Me,15,,168,,"831,283","10,921,658"
J Balvin-MOJAITA,12,,32,,"2,006,910","10,916,176"
Cardi B-Bongos,8,,70,,"1,904,700","10,903,856"
Bizarrap-No soy Eterno,8,,86,,"1,554,374","10,903,111"
Dj Guuga-Depende,12,,77,,"1,199,545","10,868,721"
Britney Spears-Pretty Girls,50,,87,,"328,948","10,868,026"
Future-D4L,8,,14,,"3,123,117","10,867,967"
leftovermax-love hotel,6,,46,,"2,517,706","10,840,873"
Capital Bra-Neymar,16,,122,,"800,473","10,840,391"
Ed Sheeran-Put It All on Me,10,,39,,"1,882,708","10,834,365"
Migos-Gang Gang,14,,63,,"1,347,061","10,834,313"
Kanye West-VULTURES,5,,24,,"2,901,517","10,830,227"
Luísa Sonza-Sagrado Profano,8,,141,,"1,416,030","10,828,356"
Eminem-No Regrets,9,,50,,"2,020,113","10,821,337"
Lana Del Rey-Fuck it I love you,12,,53,,"1,402,125","10,809,326"
Stray Kids-CASE 143,10,,54,,"1,597,790","10,807,258"
Duki-RoCKSTAR 2.0,8,,61,,"1,927,425","10,806,407"
Taylor Swift-The Last Time,7,,29,,"2,820,097","10,799,411"
Panic! At The Disco-Say Amen (Saturday Night),15,,60,,"1,217,775","10,779,320"
Kid Cudi-The Adventures of Moon Man & Slim Shady,9,,26,,"2,758,087","10,768,939"
Taylor Swift-Stay Stay Stay (Taylor's Version),7,,26,,"2,964,136","10,767,008"
Lil Wayne-Dark Side Of The Moon,8,,15,,"3,127,188","10,763,239"
Lil Tecca-Shots,14,,113,,"989,465","10,742,516"
Daya-Words,30,,130,,"430,874","10,735,663"
Bad Bunny-TRELLAS,7,,19,,"3,446,929","10,733,416"
J. Cole-c l o s e,7,,22,,"3,455,563","10,712,648"
Lady Gaga-Alice,8,,12,,"3,111,581","10,682,951"
"Anirudh Ravichander-Chaleya (From ""Jawan"")",8,,73,,"1,607,870","10,674,776"
Drake-Preach,37,,47,,"502,854","10,672,790"
Sam Hunt-Take Your Time,56,,104,,"283,380","10,668,124"
Maroon 5-Priceless,7,,31,,"2,481,356","10,664,598"
Eminem-Lock It Up,9,,52,,"2,013,592","10,662,701"
Metro Boomin-I Can't Save You (Interlude) [with Future & feat. Don Toliver],7,,76,,"1,838,707","10,649,362"
Logic-Midnight,13,,51,,"1,470,914","10,644,787"
The Weeknd-A Tale By Quincy,7,,21,,"3,054,378","10,644,730"
Drake-The Remorse,6,,30,,"3,837,627","10,641,454"
Lil Uzi Vert-Bigger Than Life,8,,46,,"2,261,927","10,641,204"
Adele-Chasing Pavements,14,,72,,"1,296,775","10,638,977"
Ninho-Lettre à une femme,11,,76,,"1,281,341","10,632,987"
Emir Can İğrek-Ali Cabbar,8,,92,,"1,505,015","10,630,689"
Lil Uzi Vert-Endless Fashion,7,,24,,"2,652,994","10,626,345"
Maluma-Agua de Jamaica,14,,118,,"968,439","10,620,428"
The Weeknd-Repeat After Me (Interlude),8,,30,,"2,602,638","10,609,931"
Kendrick Lamar-untitled 02 | 06.23.2014.,20,,31,,"1,305,147","10,605,757"
Lady Gaga-Shadow Of A Man,7,,57,,"2,207,832","10,597,363"
A Boogie Wit da Hoodie-Demons and Angels,16,,120,,"1,067,336","10,595,450"
Marracash-SUPREME - L'ego,14,,72,,"1,153,037","10,580,175"
Lauv-Fake,14,,77,,"1,177,271","10,574,766"
NewJeans-Get Up,7,,41,,"2,172,778","10,571,427"
Kid Cudi-She Knows This,7,,33,,"2,920,361","10,561,183"
NATTAN-Patrai,7,,69,,"1,712,514","10,540,625"
Tito Double P-DEMBOW BÉLICO,9,,133,,"1,331,967","10,532,765"
Jorge & Mateus-Propaganda - Ao Vivo,18,,162,,"646,861","10,532,433"
21 Savage-3AM on Glenwood,6,,32,,"3,361,534","10,516,478"
MERO-Baller los,13,,88,,"975,245","10,509,784"
Lady Gaga-Perfect Celebrity,6,,31,,"3,065,552","10,501,473"
Shindy-Affalterbach,13,,85,,"1,150,338","10,501,134"
Samir & Viktor-Saxofuckingfon,43,,98,,"349,411","10,500,286"
Kanye West-PAPERWORK,4,,20,,"3,255,674","10,499,327"
Lana Del Rey-Summer Bummer,18,,81,,"1,016,669","10,488,118"
CAZZETTE-Together,38,,75,,"427,527","10,479,299"
Cardi B-Get Up 10,12,,54,,"1,299,580","10,457,962"
J. Cole-The Climb Back,9,,21,,"2,205,585","10,455,793"
Lil Nas X-DEAD RIGHT NOW,8,,25,,"2,498,363","10,445,513"
Taylor Swift-False God,8,,34,,"2,210,386","10,436,781"
Arcane-Remember Me - from the series Arcane League of Legends,7,,119,,"1,644,901","10,412,118"
"Lil Baby-Dum, Dumb, and Dumber",7,,34,,"2,360,639","10,411,803"
Playboi Carti-WE NEED ALL DA VIBES,5,,41,,"3,410,067","10,407,766"
Harry Styles-She,8,,30,,"2,378,481","10,404,729"
"Tyler, The Creator-I Hope You Find Your Way Home",4,,25,,"3,761,378","10,391,924"
TOMORROW X TOGETHER-Deja Vu,8,,134,,"1,427,305","10,377,475"
P!nk-TRUSTFALL,8,,93,,"1,436,121","10,370,977"
Outkast-Hey Ya!,11,,73,,"1,396,694","10,355,761"
Agust D-Daechwita,10,,38,,"1,794,593","10,351,814"
Drake-All The Parties,5,,29,,"3,524,651","10,348,795"
Dua Lipa-Future Nostalgia,10,,31,,"1,977,494","10,329,559"
NLE Choppa-Shotta Flow 5,14,,90,,"919,837","10,323,522"
Henrique & Juliano-A Maior Saudade - Ao Vivo,12,,118,,"1,053,287","10,322,100"
Ozuna-Bebe,23,,168,,"483,435","10,303,790"
Unknown Artist-Unknown Title,6,,48,,"2,219,722","10,303,277"
mgk-emo girl,11,,58,,"1,464,625","10,298,322"
Migos-Give No Fxk,8,,20,,"2,783,956","10,271,625"
V-Slow Dancing (Piano Ver.),7,,54,,"2,146,779","10,250,612"
Young Thug-Oh U Went,7,,34,,"2,302,148","10,245,718"
Dennis Lloyd-Never Go Back,13,,118,,"944,116","10,243,846"
Anurag Saikia-Ishq Hai,8,,153,,"1,461,899","10,239,551"
"Tyler, The Creator-A BOY IS A GUN",8,,21,,"2,447,566","10,230,984"
Rihanna-Where Have You Been,7,,63,,"1,850,804","10,229,611"
Kendrick Lamar-Savior - Interlude,6,,28,,"3,640,226","10,229,329"
aespa-Dirty Work,7,,63,,"1,836,980","10,228,745"
Drake-Scholarships,35,,82,,"398,483","10,227,051"
"Halsey-I am not a woman, I'm a god",9,,43,,"1,697,197","10,225,584"
Mac Miller-Hand Me Downs,8,,38,,"2,334,705","10,209,335"
Rauw Alejandro-Que Le De,16,,184,,"688,230","10,185,839"
Alan Walker-The Spectre,21,,179,,"544,453","10,185,710"
Kanye West-Wolves,24,,63,,"632,559","10,182,168"
Wiz Khalifa-We Dem Boyz,67,,112,,"186,777","10,180,156"
Zach Bryan-East Side of Sorrow,7,,38,,"2,374,359","10,150,926"
Ed Sheeran-Feels,9,,36,,"1,938,656","10,145,015"
Charlie Puth-I Warned Myself,14,,107,,"964,544","10,117,166"
Lil Uzi Vert-The Way Life Goes,19,,154,,"595,288","10,097,213"
Taylor Swift-Babe (Taylor's Version) (From The Vault),7,,37,,"2,511,550","10,093,273"
Bad Bunny-Una Velita,6,,16,,"3,058,953","10,090,210"
Lady Gaga-Zombieboy,6,,40,,"2,720,124","10,088,176"
Frank Ocean-Chanel,15,,70,,"941,480","10,088,046"
Justin Bieber-Come Around Me,8,,32,,"2,234,097","10,086,475"
Slimane-Mon amour,6,,69,,"1,878,361","10,080,658"
Drake-Time Flies,8,,23,,"2,680,305","10,060,398"
Pharrell Williams-Doctor (Work It Out),7,,53,,"2,062,474","10,058,191"
One Direction-Never Enough,21,,39,,"1,064,572","10,049,591"
Halsey-So Good,9,,59,,"1,635,208","10,039,150"
Taylor Swift-Soon You’ll Get Better,8,,31,,"2,307,187","10,038,462"
Dreamville-Under The Sun,11,,53,,"1,464,930","10,031,440"
Ghali-Casa Mia,7,,100,,"1,588,804","10,031,189"
Kat Dahlia-I Think I'm In Love,53,,124,,"234,780","10,021,402"
Summer Cem-Diamonds,14,,121,,"886,947","10,008,216"
Mac Miller-I Can See,7,,35,,"2,481,820","10,002,673"
Drake-Faithful,24,,78,,"605,780","9,995,595"
DJ Khaled-Celebrate,9,,61,,"1,453,599","9,981,587"
Skrillex-Rumble,9,,71,,"1,430,081","9,981,167"
Lil Uzi Vert-X,15,,75,,"1,006,175","9,974,252"
One Direction-18,28,,55,,"1,527,034","9,967,992"
Logic-Overnight,11,,33,,"1,767,672","9,967,108"
BTS-Airplane pt.2,13,,60,,"1,203,487","9,962,623"
mgk-Bad Things,21,,157,,"508,562","9,949,861"
Diplo-Get It Right,16,,96,,"820,678","9,949,462"
The Weeknd-Losers,28,,54,,"577,564","9,946,191"
V-Blue,7,,45,,"2,259,885","9,923,067"
Metro Boomin-Feel The Fiyaaaah,7,,85,,"1,738,291","9,912,090"
Chencho Corleone-Un Cigarrillo,8,,129,,"1,357,826","9,906,892"
Kings of Leon-Waste A Moment,24,,71,,"751,861","9,904,551"
Billie Eilish-Halley's Comet,8,,40,,"2,002,476","9,898,050"
Eminem-Marsh,8,,47,,"2,131,449","9,897,849"
Sfera Ebbasta-Cupido,15,,95,,"920,022","9,896,568"
XXXTENTACION-$$$ - with Matt Ox,12,,67,,"1,199,692","9,889,360"
"Tyler, The Creator-HOT WIND BLOWS",7,,25,,"3,011,689","9,889,197"
Bad Bunny-BENDICIONES,9,,27,,"2,072,049","9,886,415"
Rae Sremmurd-CLOSE,13,,68,,"1,203,698","9,886,411"
Kendrick Lamar-Mirror,6,,30,,"3,214,315","9,886,047"
Post Malone-Wrong Ones (Feat. Tim McGraw),6,,39,,"2,482,398","9,884,000"
Taylor Swift-Holy Ground (Taylor's Version),7,,33,,"2,628,699","9,883,814"
21 Savage-Rich Nigga Shit,8,,29,,"2,554,229","9,882,916"
Oimara-Wackelkontakt,7,,87,,"1,705,750","9,873,307"
Nina Chuba-Wildberry Lillet,11,,161,,"986,384","9,863,349"
V-For Us,7,,47,,"2,241,892","9,852,032"
Future-Slimed In,5,,23,,"3,324,057","9,850,524"
Jess Glynne-Take Me Home,41,,163,,"259,916","9,837,105"
Anuel AA-Jangueo,12,,83,,"1,224,005","9,817,837"
Shakira-Puntería,7,,87,,"1,918,171","9,812,988"
Alessia Cara-Growing Pains,14,,91,,"915,449","9,809,956"
J. Cole-Crocodile Tearz,5,,18,,"3,535,645","9,805,232"
Travie McCoy-Golden,40,,103,,"322,962","9,796,012"
Peso Pluma-RARI,7,,123,,"1,572,293","9,776,319"
Shawn Mendes-The Christmas Song (Shawn Mendes & Camila Cabello),6,,63,,"2,439,626","9,774,921"
Parangolé-Perna Bamba,6,,54,,"2,022,861","9,764,745"
Justin Bieber-Somebody,8,,39,,"2,018,557","9,762,992"
Future-Patek Water,14,,69,,"1,085,707","9,762,158"
SZA-Smoking on my Ex Pack,6,,49,,"2,451,971","9,760,044"
Adele-All I Ask,11,,81,,"1,207,172","9,754,921"
21 Savage-pop ur shit,5,,21,,"3,078,391","9,741,293"
Eminem-Stepdad,8,,44,,"2,149,212","9,730,551"
TOMORROW X TOGETHER-Back for More,7,,83,,"1,610,659","9,724,598"
Anna Naklab-Supergirl,45,,128,,"256,046","9,712,344"
J. Cole-Intro,11,,19,,"3,364,549","9,702,540"
Kanye West-Come to Life,6,,35,,"2,508,949","9,697,359"
"Tyler, The Creator-WHAT'S GOOD",8,,22,,"2,441,468","9,689,955"
Post Malone-Lemon Tree,7,,29,,"2,244,500","9,683,220"
Cauty-Ta To Gucci (Remix),15,,172,,"701,584","9,677,878"
Anitta-Terremoto,13,,66,,"1,248,781","9,659,413"
Zach Bryan-Tourniquet,7,,66,,"1,865,824","9,652,422"
Don Toliver-Flocky Flocky,10,,41,,"1,748,206","9,651,317"
Playboi Carti-OLYMPIAN,5,,47,,"3,184,794","9,647,338"
Stray Kids-Thunderous,11,,86,,"1,041,995","9,646,389"
Russ-Are You Entertained,7,,19,,"2,557,547","9,645,688"
Post Malone-Reputation,7,,22,,"2,507,274","9,644,402"
Harry Styles-Carolina,13,,37,,"1,658,771","9,641,781"
Luke Combs-The Kind of Love We Make,10,,80,,"1,313,349","9,618,423"
Michael Bublé-White Christmas,6,,134,,"2,210,339","9,617,004"
Halsey-Strangers,14,,80,,"1,003,035","9,616,835"
BTS-The Truth Untold,11,,50,,"1,369,542","9,608,647"
Logic-Black SpiderMan,18,,103,,"805,153","9,605,998"
Post Malone-Wasting Angels,7,,28,,"2,262,154","9,602,960"
Lil Uzi Vert-You Better Move,7,,30,,"2,581,101","9,596,524"
Lana Del Rey-Norman fucking Rockwell,8,,26,,"2,122,231","9,588,477"
Michael Bublé-Silent Night,15,,69,,"1,681,107","9,584,090"
Kygo-Freedom,12,,61,,"1,339,239","9,574,377"
Apache 207-Unterwegs,12,,82,,"1,327,321","9,574,045"
Lil Nas X-TALES OF DOMINICA,8,,41,,"1,959,544","9,544,304"
Lil Wayne-Famous,8,,27,,"2,350,034","9,540,689"
Carpenters-Sleigh Ride,10,,90,,"1,670,122","9,538,731"
Naomi Scott-Speechless (Full),15,,156,,"668,397","9,537,535"
Ivete Sangalo-Macetando,5,,40,,"2,303,364","9,524,785"
Lil Uzi Vert-444+222,14,,56,,"1,292,815","9,524,658"
Dj Ozuna-,6,,26,,"1,762,307","9,518,236"
"Tyler, The Creator-CORSO",7,,22,,"3,134,002","9,503,981"
Trippie Redd-Matt Hardy 999,9,,51,,"1,569,579","9,494,742"
JACKBOYS-GATTI,9,,21,,"2,335,212","9,489,833"
Imagine Dragons-Walking The Wire,15,,61,,"1,075,284","9,478,979"
Drake-Intro,5,,11,,"4,766,148","9,476,389"
Hotel Ugly-Shut up My Moms Calling - (Sped Up),9,,128,,"1,174,742","9,475,502"
System Of A Down-Toxicity,7,,165,,"1,398,693","9,470,897"
PinkPantheress-Illegal,7,,85,,"1,564,935","9,470,343"
Big Sean-One Man Can Change The World,29,,54,,"476,891","9,467,058"
BIGBANG-Still Life,8,,21,,"2,070,719","9,462,488"
"Maroon 5-Moves Like Jagger - Studio Recording From ""The Voice"" Performance",59,,150,,"237,434","9,462,360"
Sam Smith-Say It First,13,,71,,"1,072,038","9,452,982"
Saweetie-My Type,15,,161,,"713,030","9,445,521"
Natanael Cano-Mas Altas Que Bajadas,7,,65,,"2,016,843","9,442,913"
Natanzinho Lima-Uma e Quinze da Manhã,6,,57,,"2,022,323","9,441,751"
Takeoff-Last Memory,13,,81,,"1,076,104","9,436,417"
Kid Ink-Ride Out,36,,75,,"384,284","9,432,490"
Calvin Harris-Feel So Close,8,,158,,"1,358,604","9,430,153"
Juice WRLD-Feline,7,,27,,"2,425,436","9,422,363"
Playboi Carti-MUNYUN,4,,26,,"4,204,188","9,411,103"
Drake-Overdrive,6,,26,,"3,060,106","9,407,041"
Linkin Park-Cut the Bridge,5,,24,,"3,096,784","9,404,885"
blink-182-Bored To Death,24,,57,,"853,768","9,404,769"
USHER-DJ Got Us Fallin' In Love,7,,103,,"1,490,288","9,402,238"
J Balvin-Gris,10,,48,,"1,765,960","9,401,117"
J. Cole-She's Mine Pt. 2,10,,33,,"1,542,240","9,399,694"
Ariana Grande-love language,7,,26,,"2,846,018","9,399,230"
Drake-Now & Forever,28,,34,,"600,282","9,399,064"
Dua Lipa-Pretty Please,9,,43,,"1,743,206","9,398,995"
Bad Bunny-Caro,14,,130,,"918,313","9,398,097"
Ariana Grande-west side,7,,25,,"2,850,790","9,397,167"
Eminem-Guilty Conscience 2,5,,37,,"3,038,960","9,385,237"
LeeHi-ONLY,13,,175,,"751,711","9,379,148"
Zach Bryan-Sarah's Place,6,,24,,"2,527,975","9,367,915"
Mac Miller-Complicated,7,,31,,"2,690,111","9,363,971"
SZA-Conceited,6,,58,,"2,261,131","9,360,973"
Frank Sinatra-The First Noel - Remastered 1999,11,,77,,"1,572,024","9,349,913"
Loredana-Eiskalt,14,,143,,"743,849","9,348,717"
Dua Lipa-Cool,9,,37,,"1,910,796","9,344,633"
Don Patricio-Contando Lunares,14,,154,,"758,892","9,342,647"
Summer Walker-No Love,8,,37,,"1,875,577","9,341,304"
Ed Sheeran-First Times,8,,31,,"1,973,079","9,330,243"
Eminem-Yah Yah,8,,45,,"2,140,639","9,329,598"
KIDS SEE GHOSTS-Freeee (Ghost Town Pt. 2),8,,35,,"1,715,793","9,325,125"
Big Sean-Go Legend (& Metro Boomin),12,,55,,"1,183,644","9,320,376"
Harry Styles-To Be So Lonely,7,,32,,"2,356,043","9,319,160"
OneRepublic-Wanted,12,,68,,"1,224,233","9,318,845"
Prince Royce-Stuck On a Feeling,48,,109,,"255,677","9,315,151"
Family of the Year-Hero,52,,143,,"219,250","9,312,990"
TOMORROW X TOGETHER-0X1=LOVESONG (I Know I Love you),10,,78,,"1,172,726","9,311,385"
Future-Claustrophobic,5,,22,,"3,380,340","9,306,558"
Kanye West-Ok Ok pt 2,4,1,5,,"5,940,975","9,303,266"
Drake-Desires,7,,18,,"2,869,224","9,291,788"
The Weeknd-Opening Night,5,,33,,"2,693,747","9,286,862"
Drake-Live From The Gutter,31,,79,,"413,987","9,283,140"
Lil Skies-Lust,17,,186,,"608,946","9,278,348"
Imagine Dragons-Machine,12,,60,,"1,289,342","9,267,462"
will.i.am-Boys & Girls,30,,145,,"359,904","9,265,263"
Justin Timberlake-Supplies,13,,54,,"1,237,534","9,247,086"
Beyoncé-PROTECTOR,5,,25,,"3,229,301","9,235,931"
Young Stoner Life-Ski,9,,40,,"1,666,610","9,231,974"
21 Savage-Numb,17,,110,,"670,557","9,229,659"
A$AP Rocky-Bad Company,14,,89,,"883,496","9,225,934"
Taylor Swift-Forever Winter (Taylor's Version) (From The Vault),7,,56,,"2,126,599","9,225,926"
21 Savage-dangerous,5,,27,,"2,837,282","9,223,254"
Kanye West-Lord I Need You,5,,33,,"2,669,264","9,221,270"
Sleep Token-Damocles,6,,37,,"2,368,653","9,218,593"
Trippie Redd-Holy Smokes,10,,78,,"1,363,995","9,214,290"
NAV-Up,20,,167,,"496,241","9,212,269"
Luan Santana-quando a bad bater - Ao Vivo,14,,165,,"707,063","9,211,780"
The Weeknd-Shameless,27,,58,,"531,272","9,199,790"
Kanye West-BEG FORGIVENESS,4,,26,,"2,748,432","9,191,870"
Lil Nas X-C7osure (You Like),12,,99,,"948,344","9,188,061"
Taylor Swift-Innocent (Taylor's Version),4,,23,,"4,239,290","9,182,022"
Bonez MC-Fuckst mich nur ab,11,,79,,"1,180,903","9,169,333"
"Tyler, The Creator-SWEET / I THOUGHT YOU WANTED TO DANCE",7,,31,,"2,565,625","9,142,721"
KATSEYE-Gameboy,7,,106,,"1,488,670","9,141,335"
Future-712PM,7,,15,,"2,609,609","9,124,564"
Pop Smoke-44 BullDog,8,,25,,"2,185,344","9,118,762"
Lady Gaga-Free Woman,7,,18,,"2,860,683","9,114,004"
ZAYN-BeFoUr,22,,53,,"726,904","9,112,739"
Playboi Carti-JUMPIN,4,,33,,"3,688,881","9,106,709"
Post Malone-I Cannot Be (A Sadder Song),7,,33,,"2,202,713","9,073,108"
Michelle Williams-Tightrope,17,,163,,"579,399","9,069,508"
Olly Murs-Kiss Me,34,,110,,"314,567","9,069,225"
Beyoncé-VIRGO'S GROOVE,7,,30,,"2,372,450","9,056,408"
Pashanim-Shabab(e)s im VIP,7,,109,,"1,507,764","9,052,136"
Baby Lasagna-Rim Tim Tagi Dim,5,,45,,"2,189,698","9,041,910"
Taylor Swift-Fearless (Taylor’s Version),6,,13,,"3,130,482","9,038,593"
Capital Bra-One Night Stand,13,,96,,"819,052","9,030,014"
JISOO-All Eyes On Me,5,,16,,"3,104,156","9,027,226"
Guilherme & Benuto-Duas Três,8,,174,,"1,197,683","9,024,915"
Hilary Duff-Sparks,37,,107,,"322,485","9,023,828"
"Tyler, The Creator-PUPPET",8,,25,,"2,251,562","9,018,443"
Mc IG-Sorriso no Rosto,7,,152,,"1,431,983","9,009,678"
Taylor Swift-Daylight,8,,42,,"1,834,253","9,006,326"
Esau Ortiz-Triple Lavada,7,,117,,"1,419,080","9,005,951"
Lauv-Who,11,,121,,"1,132,869","9,005,610"
Billie Eilish-Male Fantasy,8,,55,,"1,638,949","9,003,801"
The Weeknd-Until I Bleed Out,7,,34,,"2,449,518","8,998,999"
BTS-Butter (Instrumental),9,,43,,"1,883,004","8,991,821"
Don Toliver-TORE UP,7,,156,,"1,447,130","8,990,774"
"Harry Styles-Sunflower, Vol. 6",7,,34,,"2,201,298","8,985,629"
Taylor Swift-Begin Again (Taylor's Version),6,,36,,"2,558,716","8,969,930"
Ed Sheeran-1000 Nights,8,,46,,"1,751,022","8,968,082"
Anuel AA-Mercedes Tintia,8,,90,,"1,235,664","8,965,412"
Kanye West-Feedback,21,,65,,"616,884","8,964,582"
Ariana Grande-raindrops (an angel cried),8,,21,,"2,445,133","8,958,462"
Playboi Carti-COCAINE NOSE,4,,38,,"3,555,838","8,953,692"
Brisa Star-Se Joga no Passinho,11,,122,,"956,909","8,953,501"
Gunna-Too Easy,10,,78,,"1,241,309","8,933,333"
Juice WRLD-Rockstar In His Prime,7,,32,,"2,192,467","8,928,877"
6ix9ine-KANGA,8,,23,,"1,979,109","8,925,563"
j-hope-Killin' It Girl (Solo Version),7,,124,,"1,347,342","8,919,343"
Ufo361-Pass auf wen du liebst,10,,51,,"1,226,233","8,914,958"
Loud Luxury-Love No More,14,,150,,"759,601","8,910,474"
Lazza-100 MESSAGGI,6,,59,,"1,953,098","8,905,974"
Outkast-Hey Ya! - Radio Mix / Club Mix,47,,131,,"440,958","8,905,279"
Jamie Lawson-Wasn't Expecting That,38,,137,,"272,271","8,900,723"
Crush-Rush Hour (Feat. j-hope of BTS),8,,58,,"1,527,335","8,899,297"
Ninho-Jefe,9,,69,,"1,533,209","8,898,246"
Eminem-Never Love Again,8,,56,,"1,923,386","8,882,697"
Justin Bieber-Habitual,7,,30,,"2,363,016","8,882,626"
Drake-Omertà,8,,18,,"2,144,500","8,877,352"
Anitta-Indecente,15,,123,,"716,612","8,873,708"
Gusttavo Lima-Fala Mal de Mim - Ao Vivo,10,,120,,"1,037,017","8,870,870"
Red Hot Chili Peppers-Black Summer,8,,31,,"1,911,734","8,869,485"
My Chemical Romance-Teenagers,12,,171,,"794,213","8,868,790"
21 Savage-Rap Saved Me,12,,51,,"1,154,702","8,864,110"
The Weeknd-Every Angel is Terrifying,6,,25,,"2,704,736","8,858,176"
Loredana-Jetzt rufst du an,12,,119,,"908,499","8,846,786"
Eminem-Farewell,8,,68,,"1,767,251","8,836,673"
Mac Miller-Ladders,10,,40,,"1,697,565","8,835,851"
Pop Smoke-Enjoy Yourself,10,,65,,"1,483,136","8,825,154"
Lil Uzi Vert-Bean (Kobe),7,,22,,"2,499,572","8,812,324"
Lana Del Rey-Mariners Apartment Complex,12,,67,,"1,159,295","8,812,024"
J Balvin-Si Tu Novio Te Deja Sola,20,,166,,"482,649","8,809,204"
Playboi Carti-LIKE WEEZY,5,,56,,"2,810,728","8,803,253"
Tory Lanez-Jerry Sprunger,10,,63,,"1,236,764","8,794,569"
J Balvin-Rosa,9,,44,,"1,958,001","8,789,211"
Of Monsters and Men-Little Talks,61,,146,,"154,630","8,787,179"
Justin Bieber-All Around Me,7,,24,,"2,434,300","8,779,823"
XXXTENTACION-One Minute,7,,11,,"2,764,133","8,771,023"
Drake-Views,21,,81,,"588,024","8,768,247"
Jasleen Royal-Sahiba,7,,158,,"1,289,332","8,764,633"
Taylor Swift-Ours (Taylor’s Version),4,,26,,"3,866,730","8,757,102"
The Weeknd-Given Up On Me,5,,43,,"2,394,560","8,752,972"
Arctic Monkeys-Four Out Of Five,8,,17,,"2,299,291","8,739,826"
KIDS SEE GHOSTS-Fire,8,,42,,"1,541,056","8,733,514"
Becky Hill-Remember (and David Guetta),11,,151,,"870,748","8,731,637"
MC Du Black-Gaiola É o Troco,13,,139,,"768,291","8,724,123"
Kendrick Lamar-Mother I Sober,5,,29,,"3,272,066","8,723,141"
Shawn Mendes-Why Why Why,6,,60,,"2,067,226","8,709,945"
LANY-Thru These Tears,15,,125,,"771,866","8,706,870"
Louis Armstrong-Cool Yule,6,,131,,"1,738,303","8,702,301"
Travis Scott-COFFEE BEAN,8,,36,,"2,247,432","8,701,901"
Nicky Jam-Hiekka,7,,151,,"1,384,849","8,696,091"
Bazzi-No Way!,12,,80,,"1,066,749","8,684,514"
La La Land Cast-Another Day Of Sun,20,,132,,"546,813","8,682,829"
21 Savage-Many Men,7,,33,,"2,351,039","8,675,173"
Kanye West-HOODRAT,4,,23,,"2,908,491","8,667,221"
PARTYNEXTDOOR-SOMEBODY LOVES ME,5,,47,,"2,877,041","8,661,073"
SZA-Too Late,6,,68,,"2,053,575","8,660,399"
KHEA-WACHA,11,,118,,"866,047","8,659,745"
MoTrip-So wie du bist,40,,134,,"237,807","8,627,098"
Lady Gaga-A-YO,16,,48,,"1,070,223","8,625,430"
Young Thug-Chanel (Go Get It),14,,121,,"792,891","8,624,208"
Harry Styles-Kiwi,14,,65,,"1,160,315","8,620,123"
Disco Lines-No Broke Boys,7,,157,,"1,289,744","8,617,999"
Quavo-HOTEL LOBBY (Unc & Phew),8,,79,,"1,399,008","8,612,322"
Eminem-Like Home,8,,29,,"1,704,993","8,611,333"
BTS-Moon,8,,56,,"1,635,935","8,609,433"
Mimi Webb-Good Without,12,,177,,"756,066","8,604,233"
Anitta-Boys Don't Cry,9,,53,,"1,492,046","8,598,505"
One Direction-Where Do Broken Hearts Go,31,,54,,"382,397","8,595,442"
Billie Eilish-GOLDWING,7,,38,,"2,040,118","8,589,283"
Lil Wayne-Dope Niggaz,7,,24,,"2,440,264","8,587,983"
BTS-Friends,7,,48,,"1,821,831","8,587,944"
Drake-Away From Home,5,,46,,"2,653,056","8,586,638"
Iggy Azalea-Trouble,38,,108,,"299,261","8,573,087"
NF-HAPPY,7,,69,,"1,619,066","8,569,815"
"Andrew Gold-Spooky, Scary Skeletons - Undead Tombstone Remix",4,,28,,"3,339,739","8,566,726"
The Moonglows-Hey Santa Claus,4,,60,,"2,315,383","8,565,753"
