Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Morgan Wallen-Last Night,548,1,10,,"4,011,329","983,053,833"
Trevor Daniel-Falling,527,89,5,,"4,412,756","982,655,543"
KAROL G-Tusa,501,92,3,(x16),"6,437,662","981,019,287"
Lil Nas X-Old Town Road - Remix,471,131,2,(x27),"5,546,821","972,399,663"
DJ Snake-Let Me Love You,575,155,2,(x7),"4,901,972","971,741,440"
Hotel Ugly-Shut up My Moms Calling,706,,63,,"1,893,587","971,434,162"
Michael Bublé-It's Beginning to Look a Lot Like Christmas,417,74,3,(x1),"14,790,986","971,304,720"
Jimin-Like Crazy,480,2,1,(x1),"6,013,972","967,510,834"
benny blanco-Eastside,667,75,3,(x8),"3,488,754","966,793,467"
5 Seconds of Summer-Youngblood,821,6,6,,"3,369,480","959,545,880"
The Weeknd-Timeless,280,36,2,(x1),"10,043,439","945,559,710"
Post Malone-Wow.,577,98,1,(x1),"4,715,948","942,911,527"
Justin Bieber-Sorry,653,145,1,(x55),"5,324,014","941,521,752"
JVKE-golden hour,503,,11,,"3,100,355","940,331,723"
Ava Max-Sweet but Psycho,685,49,5,,"3,733,923","936,176,235"
Eminem-Lose Yourself,1618,,27,,"1,935,396","935,591,976"
The Chainsmokers-Don't Let Me Down,656,151,3,(x13),"3,238,214","930,379,946"
Ariana Grande-positions,550,93,1,(x11),"7,829,519","916,255,755"
Twenty One Pilots-Stressed Out,906,83,5,,"2,698,436","911,640,855"
Eminem-The Real Slim Shady,866,,36,,"1,966,501","910,398,351"
Miguel-Sure Thing,605,,14,,"3,286,146","910,114,352"
Cardi B-I Like It,526,108,2,(x3),"4,170,983","909,100,262"
Grupo Frontera-un x100to,322,84,1,(x20),"10,134,420","906,155,872"
Major Lazer-Lean On,812,215,1,(x73),"3,022,720","903,501,246"
Joji-Glimpse of Us,370,71,1,(x10),"8,707,455","903,289,026"
Rauw Alejandro-Todo De Ti,431,71,2,(x29),"7,399,812","902,083,204"
Tyla-Water,445,3,8,,"3,903,939","897,931,179"
Post Malone-Psycho,557,95,1,(x3),"6,546,243","897,922,392"
DJ Snake-Taki Taki,441,121,1,(x32),"6,255,332","894,324,275"
Arctic Monkeys-Why'd You Only Call Me When You're High?,828,,85,,"1,605,573","891,412,794"
Zach Bryan-I Remember Everything,462,,13,,"3,131,093","891,119,776"
Yng Lvcas-La Bebe - Remix,312,113,2,(x3),"6,495,208","886,845,966"
Chris Brown-Under The Influence,421,51,6,,"4,029,771","886,080,983"
Mike Posner-I Took A Pill In Ibiza - Seeb Remix,698,156,2,(x24),"3,515,689","885,579,145"
Bad Bunny-DtMF,180,126,1,(x16),"14,369,234","884,770,282"
Coldplay-My Universe,508,44,3,(x4),"6,768,788","878,060,454"
Internet Money-Lemonade,459,92,2,(x12),"4,676,627","875,296,416"
Bad Bunny-PERRO NEGRO,377,43,3,(x1),"7,787,911","874,554,918"
Dean Lewis-Be Alright,824,,12,,"2,571,940","868,812,578"
Cardi B-WAP,386,103,1,(x37),"7,175,768","865,593,647"
Ed Sheeran-Beautiful People,500,111,3,(x21),"6,042,828","864,985,505"
Billie Eilish-CHIHIRO,407,14,3,(x1),"10,051,791","864,923,069"
Zach Bryan-Something in the Orange,657,,53,,"1,617,183","860,700,275"
Fleetwood Mac-Dreams - 2004 Remaster,745,,17,,"2,441,194","852,830,471"
KAROL G-TQG,307,86,1,(x6),"9,024,770","852,694,525"
Andy Williams-It's the Most Wonderful Time of the Year,374,41,5,,"13,789,130","847,368,061"
Myke Towers-LALA,282,93,1,(x6),"6,561,472","844,606,688"
KAROL G-PROVENZA,421,33,4,,"4,074,136","842,909,731"
Drake-In My Feelings,364,99,1,(x57),"9,847,333","842,567,102"
Regard-Ride It,679,,12,,"2,795,908","834,423,749"
The Weeknd-Popular,397,1,10,,"4,056,748","828,126,328"
Billie Eilish-Happier Than Ever,482,31,6,,"5,185,866","827,082,250"
Avicii-Wake Me Up,1135,2,4,,"4,470,595","826,030,659"
Billie Eilish-everything i wanted,530,35,1,(x1),"6,706,379","822,587,129"
Doja Cat-Need To Know,422,23,6,,"4,538,806","820,296,282"
Panic! At The Disco-High Hopes,706,9,8,,"2,913,355","819,003,001"
Radiohead-Creep,581,,50,,"2,055,280","808,976,172"
Lil Mosey-Blueberry Faygo,473,41,8,,"3,722,129","807,671,989"
Lost Frequencies-Where Are You Now,521,,17,,"2,581,666","806,820,022"
The Weeknd-Stargirl Interlude,666,,39,,"1,685,404","803,215,601"
Bruno Mars-Leave The Door Open,435,76,4,,"3,931,158","802,639,623"
Rihanna-We Found Love,684,,18,,"2,720,075","802,598,760"
Major Lazer-Cold Water,415,124,1,(x30),"5,821,243","802,152,562"
Taylor Swift-cardigan,509,14,1,(x4),"7,742,178","798,592,854"
Tate McRae-you broke me first,575,,12,,"2,846,451","797,209,064"
Dua Lipa-Dance The Night (From Barbie The Album),332,51,4,,"5,162,419","795,316,102"
Taylor Swift-Lover,509,9,2,(x2),"5,550,879","794,918,070"
Stephen Sanchez-Until I Found You,439,8,6,,"3,717,786","794,509,946"
V-Love Me Again,486,3,10,,"3,773,666","793,978,896"
TV Girl-Lovers Rock,603,,92,,"1,604,623","793,907,358"
Feid-Classy 101,373,21,6,,"4,381,012","793,499,049"
Maluma-Hawái,421,86,2,(x13),"6,400,816","793,442,452"
Gunna-fukumean,368,40,6,,"3,947,656","790,785,629"
Luis Fonsi-Despacito (Featuring Daddy Yankee),437,105,3,(x4),"4,125,267","789,414,310"
Bad Bunny-Moscow Mule,314,83,1,(x1),"11,746,115","782,378,105"
Drake-Jimmy Cooks,533,7,4,,"6,639,768","781,719,845"
Masked Wolf-Astronaut In The Ocean,387,91,2,(x5),"4,628,495","780,496,141"
Imagine Dragons-Enemy,429,91,3,(x31),"4,045,965","777,625,894"
Steve Lacy-Bad Habit,352,29,8,,"3,404,739","776,530,316"
GAYLE-abcdefu,305,136,1,(x28),"5,475,075","776,489,541"
Joel Corry-Head & Heart,481,1,10,,"3,192,515","775,664,589"
Natasha Bedingfield-Unwritten,439,,14,,"3,475,439","774,759,070"
Taylor Swift-Don’t Blame Me,597,,68,,"1,686,630","774,460,715"
Jung Kook-Standing Next to You,373,25,1,(x3),"6,472,019","773,538,917"
BTS-Butter,428,43,2,(x8),"11,042,335","773,357,950"
Sam Smith-Too Good At Goodbyes,748,45,3,(x14),"4,134,961","769,575,302"
Sia-Cheap Thrills,581,131,3,(x11),"3,612,966","769,075,819"
Jawsh 685-Savage Love (Laxed - Sired Beat),381,103,1,(x10),"5,222,103","769,072,293"
Bad Bunny-Callaita,497,61,5,,"4,194,487","768,647,082"
KAROL G-AMARGURA,517,,50,,"1,999,201","767,766,548"
Adele-Set Fire to the Rain,615,,46,,"1,719,764","766,219,355"
Ozuna-Hey Mor,356,,11,,"3,245,523","765,218,719"
Myles Smith-Stargazing,354,,14,,"4,450,434","764,285,997"
Dua Lipa-IDGAF,553,79,3,(x1),"3,463,420","764,027,263"
Tiësto-The Business,499,19,8,,"2,975,887","761,936,265"
Don Omar-Danza Kuduro,555,,64,,"1,968,077","758,032,039"
Kate Bush-Running Up That Hill (A Deal With God),240,92,1,(x17),"8,559,687","756,894,641"
Lil Tecca-Ransom,502,65,3,(x14),"3,925,157","756,056,987"
Justin Bieber-What Do You Mean?,532,170,1,(x53),"4,480,610","755,059,282"
Taylor Swift-Fortnight,235,28,1,(x10),"25,204,472","754,553,837"
Post Malone-I Fall Apart,627,6,10,,"2,648,763","751,801,044"
The Weeknd-Call Out My Name,574,25,1,(x4),"6,473,226","750,481,622"
Jonas Brothers-Sucker,494,72,2,(x11),"5,168,503","750,194,203"
Daddy Yankee-Con Calma,378,107,1,(x2),"4,840,712","747,154,168"
SZA-Saturn,371,,12,,"3,908,695","744,842,025"
Eminem-Godzilla,587,22,3,(x2),"5,932,521","740,089,787"
"Bizarrap-Shakira: Bzrp Music Sessions, Vol. 53",213,74,1,(x3),"14,393,342","739,876,069"
Zedd-The Middle,580,55,6,,"3,232,350","737,695,785"
Topic-Breaking Me,490,42,6,,"3,168,249","737,440,575"
blackbear-hot girl bummer,578,17,9,,"3,190,797","734,801,592"
Future-Life Is Good,492,35,3,(x4),"5,812,401","730,884,163"
Shawn Mendes-Treat You Better,601,82,4,,"3,039,522","729,653,010"
ROSALÍA-DESPECHÁ,311,53,5,,"4,819,385","728,112,787"
Rosa Linn-SNAP,400,,15,,"2,871,217","726,561,118"
Calvin Harris-This Is What You Came For,464,125,2,(x76),"4,121,279","726,247,480"
Charlie Puth-Attention,450,95,5,,"3,327,835","725,384,482"
Taylor Swift-august,488,2,4,,"5,133,322","724,492,425"
Coldplay-A Sky Full of Stars,1000,1,10,,"1,991,371","722,001,239"
Shawn Mendes-There's Nothing Holdin' Me Back,563,34,5,,"3,282,626","721,133,919"
Lil Nas X-THATS WHAT I WANT,382,18,3,(x5),"5,208,116","712,683,820"
DJ Khaled-I'm the One,354,111,2,(x56),"6,004,412","710,871,645"
Linkin Park-Numb,476,,12,,"3,129,200","706,378,298"
Marshmello-FRIENDS,468,90,3,(x2),"3,794,741","705,121,626"
Benson Boone-Slow It Down,369,,26,,"3,082,662","703,780,712"
J Balvin-Mi Gente,398,102,1,(x29),"4,967,261","700,647,325"
Anuel AA-China,373,79,2,(x33),"5,025,519","700,299,345"
Charlie Puth-We Don't Talk Anymore,744,8,9,,"2,699,700","698,996,405"
Calle 24-Que Onda,330,,13,,"3,275,918","697,995,153"
Coolio-Gangsta's Paradise,667,,11,,"3,234,609","696,814,316"
"Justin Timberlake-CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",534,97,3,(x40),"3,828,848","696,761,933"
Alan Walker-Faded,645,108,6,,"2,617,975","695,662,686"
Stephen Sanchez-Until I Found You,409,,19,,"2,563,874","695,173,569"
Dasha-Austin,302,,17,,"3,376,339","691,923,182"
Fifth Harmony-Work from Home,518,140,2,(x14),"3,464,320","691,600,792"
Sam Smith-Dancing With A Stranger,528,63,6,,"3,446,291","689,734,075"
Bad Bunny-BAILE INoLVIDABLE,180,72,3,(x1),"8,776,907","689,649,973"
Lola Young-Messy,213,18,8,,"5,133,611","688,536,177"
Bad Bunny-MIA,362,100,1,(x1),"6,592,787","687,139,530"
Tyga-Taste,472,27,5,,"3,743,170","686,007,252"
Justin Bieber-Intentions,378,59,4,,"5,863,115","684,618,862"
Lukas Graham-7 Years,602,97,2,(x14),"3,227,270","682,797,214"
Bebe Rexha-Meant to Be,604,,16,,"2,202,025","678,676,587"
Pedro Capó-Calma - Remix,423,60,5,,"3,597,909","677,924,614"
Dua Lipa-Break My Heart,454,19,6,,"4,276,985","677,077,932"
Ariana Grande-no tears left to cry,430,60,2,(x5),"5,457,046","676,765,440"
Drake-Toosie Slide,325,97,1,(x4),"6,574,812","676,648,172"
a-ha-Take on Me,503,,36,,"2,428,140","676,590,702"
Kenya Grace-Strangers,232,42,3,(x1),"5,042,688","674,352,203"
FIFTY FIFTY-Cupid - Twin Ver.,260,80,3,(x2),"5,408,180","674,345,340"
Jack Harlow-Lovin On Me,223,74,2,(x8),"5,284,347","672,278,136"
Clean Bandit-Rockabye,460,98,3,(x16),"3,988,539","671,697,572"
Pop Smoke-For The Night,411,36,6,,"3,541,237","671,301,822"
ZAYN-I Don’t Wanna Live Forever (Fifty Shades Darker),470,89,2,(x11),"4,587,208","670,849,071"
Dynoro-In My Mind,465,61,4,,"3,399,551","669,517,982"
Doja Cat-Say So,409,56,5,,"3,797,897","668,965,840"
Xavi-La Diabla,208,73,1,(x21),"6,012,846","668,957,026"
Sia-Snowman,283,15,9,,"12,956,323","667,523,002"
PinkPantheress-Boy's a liar Pt. 2,244,64,3,(x6),"6,115,975","666,437,216"
The Weeknd-Save Your Tears,332,16,3,(x1),"5,039,298","666,311,826"
Juice WRLD-Robbery,656,,11,,"2,946,918","664,186,208"
"Gracie Abrams-I Love You, I'm Sorry",327,,15,,"3,223,003","660,498,930"
Marshmello-Silence,481,62,7,,"3,073,182","660,087,451"
Elley Duhé-MIDDLE OF THE NIGHT,410,8,9,,"2,708,200","659,624,921"
Kendrick Lamar-Money Trees,515,,31,,"3,105,268","657,375,901"
Harry Styles-Late Night Talking,347,20,2,(x6),"10,105,889","655,670,922"
Alex Warren-Ordinary,147,105,1,(x50),"6,117,943","655,431,384"
Adele-Hello,515,106,1,(x19),"7,060,919","654,392,042"
Kelly Clarkson-Underneath the Tree,269,11,6,,"14,543,628","653,851,998"
Danny Ocean-Me Rehúso,502,,18,,"2,075,957","653,589,618"
Feid-Feliz Cumpleaños Ferxxo,383,,27,,"2,514,906","652,418,152"
Maroon 5-What Lovers Do,482,78,4,,"3,535,745","649,656,956"
Rihanna-Work,419,99,1,(x63),"5,311,344","647,817,743"
Anne-Marie-2002,622,,25,,"2,009,520","646,948,543"
Kygo-It Ain't Me,380,98,2,(x11),"4,923,684","646,149,695"
